site_id,P_annual,T_mean,SR,T_season,P_season,T_cold,P_cqtr,Roughness
ct_44_eb_10,6.46525272777348,-5.18077208756114,15317.2546997656,845.712841770499,96.3730272936197,-22.3972439304981,3.08675985527759,6.10200883461833
ct_44_eb_11,6.49875498842024,-8.36083333280411,15211.0297762584,891.338177057053,96.26086089367,-25.5544207071963,3.23361992364119,6.05325562557597
ct_44_eb_12,6.5247018614976,-12.7471801295425,15187.7432528409,928.491496713994,96.3218919387972,-29.4323232053506,3.33291845393307,6.28211440621498
ct_44_eb_13,6.55959918703059,-14.25,14980.4584960938,927.917651980625,95.4851722717285,-30.3500003814697,3.36670094591868,6.69954280480988
ct_44_eb_7,6.3942398914432,5.22805550893148,15803.6611328125,679.374795671799,96.7623372395833,-10.6,2.66631347149892,6.40836924147898
ct_44_eb_8,6.38208600730336,3.19653092043792,15710.5986711091,713.180642937873,97.5271039706729,-13.1114630533739,2.69593975559574,6.17011486125724
ct_44_eb_9,6.41906089666714,-0.6799263933816,15542.0966977014,763.199184568485,97.0212161986698,-17.1817665854512,2.87304819202921,6.24908622947839
ct_147_eb_10,4.72242236362442,-7.54624112109564,15831.6654602276,973.691225330811,125.527081653765,-27.306758233749,0.100762644854948,4.79274577422817
ct_147_eb_11,4.8306177511865,-10.137799439713,15648.2752175251,981.391983689419,124.991817341941,-28.7144435319609,0.496824802232191,4.98890815089676
ct_147_eb_12,5.0920462943429,-15.8819126848735,15082.9728204333,986.045781780043,122.501632644253,-32.4192333580587,1.2740041975758,6.03720745589595
ct_147_eb_13,5.25424627578029,-19.4693702959832,14863.4777254294,999.206050029063,124.173529122622,-35.283206138902,1.36872599028314,6.17684022664676
ct_147_eb_14,5.4660889834496,-22.7583332061768,14707.5834960938,1005.45954752704,128.406116485596,-37.5499992370605,1.38629436111989,6.36309349759921
ct_147_eb_2,3.59100040833596,11.8175748186343,16494.1718419693,1336.30281465201,102.340906609182,-17.4403674070549,0.801428346074823,4.09960353512665
ct_147_eb_3,3.47218428251366,11.3886314202064,16605.051877467,1301.35704985627,101.050955823482,-17.4915422834765,0.928806191101194,3.41825088007638
ct_147_eb_4,3.63810313201906,9.55504559029946,16605.6875706152,1128.42555161082,99.6505517366036,-15.8213663758783,0.723310269978371,3.88796896284559
ct_147_eb_5,3.76741136854625,7.69737713929715,16492.2060390587,1080.57762573315,108.669604374528,-16.721500152837,0.0258204145869088,4.55555648293551
ct_147_eb_6,3.9925433497979,5.20111612628083,16346.473629287,1007.68781978939,112.837657486862,-17.7737424914731,0,5.52342726943192
ct_147_eb_7,4.27435816480828,2.05040406834301,16243.4797985375,970.657382613592,118.08097532023,-20.0310954148974,0.00285749721078894,5.56715566414545
ct_147_eb_8,4.47379530057218,-1.01695410096123,16058.5769820114,935.491903877632,120.106685188565,-21.6508778025652,0.00889443413814634,5.9370239497909
ct_147_eb_9,4.63382488875581,-4.27737023433589,15980.3134574766,938.490555998431,123.840906208769,-24.3187115426259,0.0286726584162414,5.28828026288288
ct_100_eb_10,6.73042268087247,-3.69072327636323,13860.1336600825,636.62442089002,70.8093523709279,-15.9207548105492,3.89059796490782,6.65589417659466
ct_100_eb_11,6.75489088822043,-5.91527779897054,13807.5416666667,658.042769124318,71.6835492451986,-18.1833337148031,3.87637550300367,6.69784264425689
ct_100_eb_3,6.72481368377915,17.0487280795449,14713.8736944901,472.840926911637,63.297541126452,4.65684210124769,4.15305937279618,6.51577688428227
ct_100_eb_4,6.74944347252544,15.3148585057916,14603.0864760976,489.118079862581,62.9773738180086,2.87910014406084,4.22937743411105,6.2882179825432
ct_100_eb_5,6.72047363284077,13.1804781973697,14610.8855495697,496.006782927524,62.3490030700964,0.704905467521919,4.21186542853029,6.00253545089123
ct_100_eb_6,6.70313101871496,10.7536826856289,14522.1448462526,509.385017013728,63.3739311866441,-1.85534818957568,4.13983354367306,6.10700618260436
ct_100_eb_7,6.69507422286236,7.5886565068441,14358.0521907374,532.589278552464,65.0220025937197,-5.25707584195439,4.04568470131975,6.11529825661973
ct_100_eb_8,6.68365495857209,4.23138967704841,14193.7950416815,565.718696315244,67.8596467305182,-8.7342368178973,3.91021060017799,6.26699114636386
ct_100_eb_9,6.69078361565013,0.684873188304229,13967.0094896399,610.984839943495,71.6304621903793,-12.0353261439697,3.78395402694626,6.4203765776808
ct_164_eb_10,6.54979456683462,-2.22206055269145,13767.3007020227,653.558499104602,80.0423625428,-15.7710758172225,3.34995838319134,6.1647220112259
ct_164_eb_11,6.59478770315826,-4.81562495231628,13733.3332519531,681.152772382528,79.9128150939941,-18.4999995231628,3.40573920765102,6.36716763118288
ct_164_eb_3,6.70073110954781,16.5874996185303,14416.6669921875,477.13216653272,72.4573516845703,4.19999980926514,3.95124371858143,6.68461172766793
ct_164_eb_4,6.76434052836889,15.040296789718,14567.4250588613,492.921851504857,62.1935013548969,2.57305936297597,4.28746654975235,6.28737615702407
ct_164_eb_5,6.72097914304758,13.0226051760655,14468.4488393746,509.697840901562,64.6418758186639,0.41360293759727,4.17788764040844,6.58401809988692
ct_164_eb_6,6.63553970885153,10.0199576236454,14304.6484375,544.075887624994,68.7293016372942,-3.32438725563606,3.90788191109987,6.61587938869301
ct_164_eb_7,6.57819712767595,6.46368537029782,14173.2536879256,583.626789811979,69.5843617832923,-7.22490607172459,3.7673503812787,6.14884922393164
ct_164_eb_8,6.55856596288419,3.38337680930391,14041.7535634245,613.453794300273,71.5959871393134,-9.89641661727539,3.65069552208623,6.13748046472427
ct_164_eb_9,6.54658956518184,0.461461129663325,13889.8036689912,633.676072735536,75.6843488962058,-12.6711744996525,3.49792728897749,6.17464964278808
